Year,Pathogen,Specimen,Location,Antibiotic,Resistance_Percentage
2021,Pseudomonas spp.,PA+OSBF,Overall,Gentamicin,23.0
2021,Pseudomonas spp.,PA+OSBF,Overall,Ciprofloxacin,30.0
2021,Pseudomonas spp.,Urine,Overall,Piperacillin-Tazobactam,13.0
2021,Pseudomonas spp.,Urine,Overall,Ceftazidime,30.0
2021,Pseudomonas spp.,Urine,Overall,Imipenem,19.0
2021,Pseudomonas spp.,Urine,Overall,Meropenem,15.0
2021,Pseudomonas spp.,Urine,Overall,Amikacin,19.0
2021,Pseudomonas spp.,Urine,Overall,Gentamicin,21.0
2021,Pseudomonas spp.,Urine,Overall,Ciprofloxacin,30.0
2021,Pseudomonas spp.,All Specimens,ICU,Piperacillin-Tazobactam,20.0
2021,Pseudomonas spp.,All Specimens,IPD,Piperacillin-Tazobactam,9.0
2021,Pseudomonas spp.,All Specimens,OPD,Piperacillin-Tazobactam,15.0
2021,Pseudomonas spp.,All Specimens,ICU,Ceftazidime,40.0
2021,Pseudomonas spp.,All Specimens,IPD,Ceftazidime,24.0
2021,Pseudomonas spp.,All Specimens,OPD,Ceftazidime,30.0
2021,Pseudomonas spp.,All Specimens,ICU,Imipenem,21.0
2021,Pseudomonas spp.,All Specimens,IPD,Imipenem,15.0
2021,Pseudomonas spp.,All Specimens,OPD,Imipenem,12.0
2021,Pseudomonas spp.,All Specimens,ICU,Meropenem,21.0
2021,Pseudomonas spp.,All Specimens,IPD,Meropenem,12.0
2021,Pseudomonas spp.,All Specimens,OPD,Meropenem,17.0
2021,Pseudomonas spp.,All Specimens,ICU,Amikacin,21.0
2021,Pseudomonas spp.,All Specimens,IPD,Amikacin,16.0
2021,Pseudomonas spp.,All Specimens,OPD,Amikacin,19.0
2021,Pseudomonas spp.,All Specimens,ICU,Gentamicin,26.0
2021,Pseudomonas spp.,All Specimens,IPD,Gentamicin,19.0
2021,Pseudomonas spp.,All Specimens,OPD,Gentamicin,23.0
2021,Pseudomonas spp.,All Specimens,ICU,Ciprofloxacin,32.0
2021,Pseudomonas spp.,All Specimens,IPD,Ciprofloxacin,27.0
2021,Pseudomonas spp.,All Specimens,OPD,Ciprofloxacin,30.0
2021,Acinetobacter spp.,All Specimens,Overall,Cefoperazone-Sulbactam,11.0
2021,Acinetobacter spp.,All Specimens,Overall,Piperacillin-Tazobactam,50.0
2021,Acinetobacter spp.,All Specimens,Overall,Ceftazidime,67.0
2021,Acinetobacter spp.,All Specimens,Overall,Cefepime,64.0
2021,Acinetobacter spp.,All Specimens,Overall,Imipenem,54.0
2021,Acinetobacter spp.,All Specimens,Overall,Meropenem,54.0
2021,Acinetobacter spp.,All Specimens,Overall,Amikacin,49.0
2021,Acinetobacter spp.,All Specimens,Overall,Gentamicin,51.0
2021,Acinetobacter spp.,All Specimens,Overall,Ciprofloxacin,57.0
2021,Acinetobacter spp.,All Specimens,Overall,TMP-SMX,42.0
2021,Acinetobacter spp.,All Specimens,Overall,Minocycline,38.0
2021,Acinetobacter spp.,Blood,Overall,Cefoperazone-Sulbactam,8.0
2021,Acinetobacter spp.,Blood,Overall,Piperacillin-Tazobactam,49.0
2021,Acinetobacter spp.,Blood,Overall,Ceftazidime,63.0
2021,Acinetobacter spp.,Blood,Overall,Cefepime,66.0
2021,Acinetobacter spp.,Blood,Overall,Imipenem,56.0
2021,Acinetobacter spp.,Blood,Overall,Meropenem,52.0
2021,Acinetobacter spp.,Blood,Overall,Amikacin,52.0
2021,Acinetobacter spp.,Blood,Overall,Gentamicin,55.0
2021,Acinetobacter spp.,Blood,Overall,Ciprofloxacin,55.0
2021,Acinetobacter spp.,Blood,Overall,TMP-SMX,43.0
2021,Acinetobacter spp.,Blood,Overall,Minocycline,34.0
2021,Acinetobacter spp.,PA+OSBF,Overall,Cefoperazone-Sulbactam,14.0
2021,Acinetobacter spp.,PA+OSBF,Overall,Piperacillin-Tazobactam,66.0
2021,Acinetobacter spp.,PA+OSBF,Overall,Ceftazidime,78.0
2021,Acinetobacter spp.,PA+OSBF,Overall,Cefepime,72.0
2021,Acinetobacter spp.,PA+OSBF,Overall,Imipenem,67.0
2021,Acinetobacter spp.,PA+OSBF,Overall,Meropenem,66.0
2021,Acinetobacter spp.,PA+OSBF,Overall,Amikacin,59.0
